Resolution Bin,Percentile,Avg B-factor,Max B-factor,Std B-factor,Ramachandran Score,Rotamer Score,Residue Fit,Mainchain Fit,Sidechain Fit
10-20,49,18.71875,22.38,1.77892,0.23489,0.95788,9.34373,9.11532,5.87403
10-20,50,18.94,22.67,1.81823,0.23947,0.98027,9.57265,9.34491,5.97422
10-20,51,19.162,22.96,1.85877,0.24418,1.00361,9.80462,9.58098,6.07362
10-20,52,19.39111,23.25,1.8996,0.24956,1.02804,10.04364,9.8216,6.17352
10-20,53,19.61571,23.55,1.94214,0.25582,1.05312,10.2869,10.0682,6.27662
10-20,54,19.84818,23.86,1.98658,0.26289,1.07925,10.53482,10.31922,6.38168
10-20,55,20.08091,24.17,2.0324,0.27022,1.10608,10.78681,10.57327,6.49009
10-20,56,20.3175,24.49,2.07912,0.27774,1.13438,11.04291,10.83186,6.60257
10-20,57,20.56444,24.82,2.12713,0.2846,1.16396,11.30406,11.10125,6.71825
10-20,58,20.814,25.15,2.17816,0.29133,1.1946,11.5727,11.36754,6.83543
10-20,59,21.06087,25.48,2.23161,0.29996,1.22695,11.84406,11.64318,6.95631
10-20,60,21.31679,25.83,2.28657,0.31496,1.26099,12.12058,11.92444,7.08099
10-20,61,21.58044,26.19,2.3431,0.34379,1.29826,12.40189,12.20909,7.2106
10-20,62,21.84875,26.56,2.40252,0.37494,1.3381,12.685,12.49794,7.34201
10-20,63,22.12,26.93,2.4642,0.40868,1.38096,12.97241,12.78982,7.47608
10-20,64,22.3925,27.32,2.52805,0.45594,1.4279,13.26364,13.08745,7.61739
10-20,65,22.68363,27.71,2.59508,0.50199,1.47895,13.56118,13.39022,7.76548
10-20,66,22.97636,28.13,2.66619,0.55192,1.53601,13.86539,13.70007,7.91819
10-20,67,23.28301,28.55,2.73973,0.60915,1.60172,14.17225,14.01271,8.0755
10-20,68,23.59833,29.0,2.81897,0.66395,1.67668,14.48237,14.32764,8.24029
10-20,69,23.925,29.44,2.90047,0.71568,1.76324,14.80359,14.64942,8.40738
10-20,70,24.255,29.91,2.98661,0.76538,1.86735,15.1275,14.97869,8.58637
10-20,71,24.59333,30.39,3.07586,0.81165,1.99372,15.45367,15.31317,8.7713
10-20,72,24.9475,30.89,3.17235,0.85528,2.15534,15.78981,15.64796,8.96233
10-20,73,25.31395,31.41,3.27356,0.89452,2.3626,16.13254,15.99607,9.16456
10-20,74,25.69333,31.94,3.37909,0.93185,2.62608,16.47735,16.34591,9.37127
10-20,75,26.08556,32.5,3.49223,0.96725,2.94009,16.82716,16.70478,9.58708
10-20,76,26.4937,33.09,3.61324,1.00171,3.25182,17.18638,17.06851,9.81923
10-20,77,26.93103,33.7,3.74012,1.03482,3.51836,17.55653,17.43892,10.05945
10-20,78,27.38833,34.34,3.8774,1.06705,3.7365,17.93323,17.82054,10.31472
10-20,79,27.86125,35.02,4.02223,1.09863,4.16138,18.31677,18.20885,10.58392
10-20,80,28.36125,35.73,4.17939,1.13073,4.66403,18.71206,18.60784,10.86976
10-20,81,28.89072,36.48,4.34576,1.16558,5.17486,19.11886,19.02009,11.17537
10-20,82,29.43623,37.28,4.52745,1.20072,5.56959,19.53555,19.44181,11.50008
10-20,83,30.02125,38.12,4.7201,1.23598,5.88227,19.96839,19.87425,11.84777
10-20,84,30.64,39.0,4.93009,1.27026,6.12967,20.41985,20.32821,12.21805
10-20,85,31.31571,39.96,5.15827,1.30301,6.44202,20.88693,20.79613,12.61768
10-20,86,32.035,40.97,5.40916,1.33511,6.89018,21.37586,21.28858,13.05322
10-20,87,32.79889,42.07,5.68001,1.37002,7.40191,21.88893,21.80482,13.52229
10-20,88,33.62875,43.26,5.98276,1.40539,7.81149,22.42846,22.34643,14.0404
10-20,89,34.555,44.54,6.31334,1.44082,8.09499,23.00632,22.92724,14.61646
10-20,90,35.574,45.97,6.6886,1.47552,8.30691,23.62818,23.54746,15.26732
10-20,91,36.691,47.6,7.10098,1.50797,8.80268,24.28332,24.20892,15.97277
10-20,92,37.98691,49.36,7.57138,1.54062,9.60153,25.00394,24.92733,16.79756
10-20,93,39.48,51.4,8.12915,1.57349,10.01709,25.80886,25.72616,17.74818
10-20,94,41.18,53.7764,8.76985,1.60795,10.29832,26.70103,26.61765,18.87222
10-20,95,43.22,56.55,9.54717,1.64445,10.82888,27.75563,27.66723,20.22633
10-20,96,45.78,59.88,10.50905,1.68287,12.41541,29.03696,28.9534,21.91407
